                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74088,                 1.5474,                 1.4209,                 1.1114,                0.68418,                0.68407,                0.71246,                0.53185,                0.67119,                0.67629,                0.69865,                0.47494,                0.82402,                 2.0301,                  1.405,                 1.1596,               0.067022,             0.00033311,             0.00033311
                      2,                0.72674,                 1.4003,                 1.1028,                 1.1034,                0.81686,                0.75193,                0.80765,                0.64847,                0.81708,                0.75224,                0.80096,                 0.6237,                0.71246,                 1.3575,                0.97179,                 1.0625,               0.034015,             0.00065985,             0.00065985
                      3,                0.68861,                 1.3051,                0.97828,                 1.0802,                0.79161,                0.80199,                0.82526,                0.66666,                 0.7943,                0.80267,                0.82493,                0.64506,                0.66931,                 1.2943,                0.88397,                 1.0299,              0.0010019,             0.00097999,             0.00097999
                      4,                0.65013,                 1.2175,                 0.8775,                 1.0592,                0.79969,                0.81248,                0.83855,                0.68276,                0.80527,                0.81382,                0.84052,                0.67325,                0.64798,                 1.1469,                 0.7796,                 1.0199,              0.0009703,              0.0009703,              0.0009703
                      5,                0.61966,                 1.1483,                0.80143,                 1.0397,                0.79688,                0.84404,                0.85777,                0.70964,                0.80878,                0.83196,                0.85199,                 0.6901,                0.61979,                 1.1674,                0.73759,                0.99315,              0.0009604,              0.0009604,              0.0009604
                      6,                0.59518,                 1.1017,                0.75591,                 1.0259,                0.82789,                0.83496,                0.85511,                0.71469,                0.83236,                0.83657,                0.85743,                0.69632,                0.61164,                 1.1131,                0.72888,                0.99496,              0.0009505,              0.0009505,              0.0009505
                      7,                0.57931,                 1.0701,                0.72239,                 1.0172,                0.81799,                0.83233,                0.85532,                0.71627,                 0.8184,                0.82914,                0.85163,                0.69042,                0.59171,                 1.1705,                0.69465,                0.98533,              0.0009406,              0.0009406,              0.0009406
                      8,                0.56774,                 1.0431,                0.70258,                 1.0102,                0.84613,                 0.8286,                0.85476,                0.71701,                0.83666,                0.83416,                0.85335,                0.69882,                0.58176,                 1.1719,                0.70353,                0.98095,              0.0009307,              0.0009307,              0.0009307
                      9,                0.55972,                 1.0261,                0.68555,                 1.0078,                0.83125,                0.82978,                0.86088,                 0.7238,                0.84035,                0.82182,                0.86038,                0.69909,                0.57055,                 1.1063,                0.68524,                 0.9655,              0.0009208,              0.0009208,              0.0009208
                     10,                0.54742,                0.99733,                0.66299,                 1.0003,                 0.8334,                0.84656,                0.86365,                0.72842,                0.83682,                0.84651,                0.86395,                0.70626,                0.56813,                  1.127,                0.65587,                0.96287,              0.0009109,              0.0009109,              0.0009109
                     11,                0.54179,                0.97809,                0.64697,                0.99612,                0.83174,                0.84024,                0.85935,                 0.7265,                0.83909,                0.84074,                0.85895,                0.70157,                0.57312,                 1.1169,                0.65769,                0.96955,               0.000901,               0.000901,               0.000901
                     12,                0.53297,                0.96426,                0.63002,                0.98983,                0.84962,                0.83714,                 0.8632,                0.73093,                0.84307,                0.84789,                0.86416,                0.70865,                0.56344,                 1.1912,                0.65073,                0.97514,              0.0008911,              0.0008911,              0.0008911
                     13,                0.53038,                0.96237,                0.62363,                0.98989,                0.83858,                0.83957,                0.86333,                0.73544,                0.83703,                0.84133,                 0.8638,                0.70706,                0.55547,                 1.1276,                 0.6431,                0.96446,              0.0008812,              0.0008812,              0.0008812
