                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82558,                 1.7466,                 2.0308,                 1.1272,                0.68958,                0.53484,                0.59985,                0.44933,                0.55323,                0.40495,                0.41048,                0.20119,                 0.9067,                 4.4436,                 1.8045,                 1.1684,               0.067043,              0.0003329,              0.0003329
                      2,                0.76254,                 1.4438,                 1.2232,                 1.0939,                0.73768,                0.62731,                0.71305,                0.52757,                0.71503,                  0.612,                0.68955,                0.47467,                0.93063,                 2.0646,                 1.4679,                 1.1798,               0.034037,             0.00065963,             0.00065963
                      3,                0.75706,                 1.4029,                 1.1194,                 1.0874,                0.77365,                0.74114,                0.79582,                0.62082,                0.77571,                0.73908,                0.79874,                0.61163,                0.77414,                 1.2876,                 1.0625,                 1.0581,              0.0010236,             0.00097977,             0.00097977
                      4,                 0.7071,                 1.3048,                0.98455,                 1.0613,                0.80016,                0.77319,                0.82489,                0.65223,                0.80133,                 0.7747,                0.82251,                0.64142,                 0.7144,                 1.2921,                0.89979,                 1.0158,              0.0009703,              0.0009703,              0.0009703
                      5,                0.68186,                 1.2471,                 0.9134,                 1.0468,                0.81664,                0.79589,                0.82665,                0.66627,                0.82305,                0.79223,                0.82196,                0.65824,                0.68155,                 1.2812,                0.87208,                0.98976,              0.0009604,              0.0009604,              0.0009604
                      6,                0.66015,                 1.2029,                0.86169,                 1.0322,                0.78398,                0.79176,                0.83138,                0.66258,                 0.7792,                0.79587,                0.82954,                0.65501,                 0.6806,                 1.2446,                0.86393,                 1.0027,              0.0009505,              0.0009505,              0.0009505
                      7,                0.64761,                 1.1799,                0.83187,                 1.0266,                0.82941,                0.80439,                0.84979,                0.68362,                0.82478,                0.80775,                0.84779,                0.66825,                0.66414,                 1.2249,                0.80886,                0.97358,              0.0009406,              0.0009406,              0.0009406
                      8,                0.63264,                 1.1572,                0.80018,                 1.0173,                0.82922,                0.80901,                0.84851,                0.68398,                0.83131,                0.80967,                0.84837,                0.66582,                0.67869,                 1.2025,                0.78523,                 0.9837,              0.0009307,              0.0009307,              0.0009307
                      9,                0.62443,                 1.1295,                0.77787,                 1.0129,                0.82112,                0.80176,                0.83778,                0.68658,                0.82805,                0.78908,                0.83793,                0.66957,                0.65604,                 1.1831,                0.82231,                0.96878,              0.0009208,              0.0009208,              0.0009208
                     10,                0.61925,                 1.1216,                0.75942,                 1.0079,                0.83694,                0.82179,                 0.8579,                0.70194,                0.82938,                0.81678,                0.85185,                0.68377,                 0.6309,                 1.1549,                0.75753,                0.96383,              0.0009109,              0.0009109,              0.0009109
                     11,                0.61025,                 1.1008,                 0.7392,                 1.0021,                 0.8553,                0.82331,                0.85955,                0.70627,                0.85778,                0.81872,                0.85656,                0.68922,                0.61901,                  1.189,                0.71955,                0.94842,               0.000901,               0.000901,               0.000901
                     12,                0.60237,                 1.0855,                0.72451,                0.99838,                0.83906,                0.81945,                0.85664,                 0.6963,                0.83763,                0.82043,                0.85154,                 0.6819,                 0.6157,                 1.1745,                0.75664,                0.95196,              0.0008911,              0.0008911,              0.0008911
                     13,                0.60052,                 1.0778,                0.71393,                0.99606,                0.83703,                0.82692,                 0.8538,                0.70547,                0.83596,                0.82508,                0.85193,                0.69138,                0.61705,                 1.1555,                0.77723,                0.94978,              0.0008812,              0.0008812,              0.0008812
                     14,                0.59451,                 1.0624,                0.70395,                0.99543,                0.84062,                0.82839,                0.85962,                0.71555,                0.85196,                0.82724,                0.85887,                 0.6971,                 0.6112,                 1.1576,                0.71858,                0.95231,              0.0008713,              0.0008713,              0.0008713
                     15,                0.58868,                 1.0525,                0.69241,                0.99277,                0.84261,                0.83168,                0.86496,                0.71742,                0.83897,                0.83207,                0.86188,                0.69568,                0.61384,                 1.1608,                0.73629,                0.94905,              0.0008614,              0.0008614,              0.0008614
                     16,                0.58542,                 1.0469,                0.68399,                0.98937,                0.81032,                0.85354,                0.86214,                0.71606,                0.84757,                0.81925,                0.85876,                0.69882,                0.60187,                 1.1622,                0.72171,                0.94463,              0.0008515,              0.0008515,              0.0008515
                     17,                0.58396,                  1.034,                0.67432,                0.98941,                0.83304,                0.83017,                0.86155,                0.71562,                0.83091,                 0.8295,                0.85831,                0.69606,                0.61007,                 1.1189,                0.71946,                0.94992,              0.0008416,              0.0008416,              0.0008416
                     18,                0.57504,                 1.0288,                0.66161,                0.98467,                0.84881,                0.83187,                0.86658,                0.72174,                0.84613,                0.83321,                0.86482,                 0.7006,                0.59226,                 1.1214,                0.71822,                0.93068,              0.0008317,              0.0008317,              0.0008317
                     19,                 0.5762,                 1.0236,                0.65823,                0.98421,                0.84985,                0.83836,                0.87038,                0.72537,                 0.8495,                0.83969,                 0.8675,                0.70562,                0.59228,                 1.1385,                0.69491,                0.94007,              0.0008218,              0.0008218,              0.0008218
                     20,                0.57054,                 1.0138,                  0.651,                0.98192,                0.84382,                0.84098,                0.86292,                0.72097,                0.84537,                0.84046,                0.86129,                0.69735,                 0.5909,                 1.1515,                0.69695,                0.93516,              0.0008119,              0.0008119,              0.0008119
                     21,                 0.5687,                 1.0091,                0.64904,                0.98105,                0.85506,                0.83216,                 0.8659,                0.72727,                0.85268,                0.82787,                 0.8623,                0.70055,                0.58048,                 1.1593,                0.68663,                0.92595,               0.000802,               0.000802,               0.000802
                     22,                0.56279,                0.99569,                0.63747,                0.97796,                 0.8456,                0.84309,                0.86885,                0.72937,                0.84803,                0.84241,                0.86806,                0.70324,                0.59162,                 1.1622,                0.67393,                0.93908,              0.0007921,              0.0007921,              0.0007921
                     23,                0.55894,                0.99159,                0.62769,                 0.9759,                0.82774,                 0.8443,                 0.8698,                0.73395,                0.83273,                0.84491,                0.86835,                0.71136,                0.57776,                 1.1453,                0.70026,                0.92793,              0.0007822,              0.0007822,              0.0007822
                     24,                0.55537,                0.98049,                0.62356,                0.97535,                0.85064,                0.84203,                0.87188,                0.73271,                0.85026,                0.84116,                0.86858,                0.70626,                 0.5751,                 1.1717,                0.67677,                0.92644,              0.0007723,              0.0007723,              0.0007723
                     25,                0.55498,                0.97683,                0.61743,                0.97294,                0.84303,                 0.8377,                0.87044,                0.73365,                0.84356,                 0.8355,                0.86731,                0.70762,                0.57764,                 1.1423,                0.67246,                0.92683,              0.0007624,              0.0007624,              0.0007624
                     26,                0.55283,                0.97064,                0.61101,                0.97203,                0.84828,                0.83932,                0.86851,                0.73353,                0.85075,                0.84077,                0.86789,                0.70422,                0.56987,                 1.1514,                0.67413,                0.91994,              0.0007525,              0.0007525,              0.0007525
                     27,                0.55197,                0.97792,                0.60998,                0.97235,                0.83265,                0.85354,                0.86868,                0.73207,                0.83195,                0.85367,                0.86587,                0.70302,                0.57434,                  1.159,                0.67667,                0.93253,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.5486,                0.96968,                0.60437,                0.97211,                0.83889,                0.84713,                0.86566,                0.72935,                0.83951,                0.84562,                0.86264,                0.70125,                0.57462,                 1.1253,                 0.6918,                0.93139,              0.0007327,              0.0007327,              0.0007327
                     29,                0.54391,                0.96143,                0.59521,                0.96679,                0.82048,                0.85954,                 0.8695,                0.73254,                 0.8178,                0.85638,                0.86412,                0.70656,                 0.5684,                 1.1387,                0.67796,                0.92215,              0.0007228,              0.0007228,              0.0007228
                     30,                0.54446,                0.96271,                 0.5956,                0.96617,                0.85008,                0.83415,                0.86673,                0.73174,                0.85108,                0.83537,                0.86424,                0.70462,                0.56247,                 1.1417,                0.68124,                0.91879,              0.0007129,              0.0007129,              0.0007129
                     31,                0.54176,                0.95234,                 0.5889,                0.96494,                0.84456,                0.84309,                 0.8693,                0.73999,                0.84744,                0.84525,                0.86863,                0.71384,                0.56296,                 1.1361,                0.65993,                0.91475,               0.000703,               0.000703,               0.000703
                     32,                0.53498,                0.94027,                0.58489,                 0.9622,                 0.8377,                0.85195,                0.86819,                0.73571,                  0.843,                 0.8484,                0.86823,                0.71056,                0.56952,                 1.1706,                0.67882,                0.93115,              0.0006931,              0.0006931,              0.0006931
                     33,                0.53689,                0.94015,                0.58406,                0.96351,                0.85594,                0.83856,                0.87003,                0.73908,                0.85525,                0.83877,                0.86806,                0.70914,                0.56792,                 1.1835,                0.67082,                0.92951,              0.0006832,              0.0006832,              0.0006832
                     34,                0.53152,                0.93474,                0.57251,                0.95951,                 0.8519,                0.83843,                0.86622,                0.73707,                0.85223,                0.83852,                0.86459,                0.70776,                0.56419,                 1.1568,                0.65725,                0.92399,              0.0006733,              0.0006733,              0.0006733
                     35,                0.53162,                0.93497,                0.57464,                0.96188,                0.83163,                0.84954,                0.86665,                0.73697,                0.83239,                0.84919,                0.86483,                0.70733,                  0.563,                 1.1732,                0.65402,                0.92522,              0.0006634,              0.0006634,              0.0006634
                     36,                 0.5291,                0.92361,                0.56769,                 0.9596,                0.85357,                0.83107,                0.86949,                0.73719,                0.86617,                0.83026,                 0.8692,                0.70978,                0.56626,                  1.175,                0.66785,                0.92461,              0.0006535,              0.0006535,              0.0006535
                     37,                0.52841,                0.92004,                0.56432,                0.95821,                0.84657,                 0.8415,                0.86767,                0.73683,                0.85089,                 0.8413,                0.86684,                 0.7071,                0.56761,                 1.1676,                 0.6645,                0.92962,              0.0006436,              0.0006436,              0.0006436
                     38,                0.52529,                0.91223,                0.55808,                0.95685,                0.83096,                0.85633,                0.87179,                0.74166,                0.84025,                 0.8534,                0.87077,                0.71036,                 0.5628,                 1.1688,                0.66477,                0.92413,              0.0006337,              0.0006337,              0.0006337
                     39,                0.52176,                0.91314,                 0.5559,                0.95501,                0.84671,                0.84854,                0.87101,                0.73923,                0.85169,                 0.8449,                0.86967,                 0.7129,                0.55658,                 1.1798,                0.67173,                0.91958,              0.0006238,              0.0006238,              0.0006238
                     40,                0.52262,                0.91486,                0.55583,                 0.9549,                0.85392,                0.84057,                0.86841,                0.73878,                0.85408,                0.84173,                0.86755,                0.71103,                0.56439,                 1.1661,                0.66217,                0.93182,              0.0006139,              0.0006139,              0.0006139
