                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79612,                 1.6714,                 1.5783,                 1.1885,                0.69683,                0.70963,                0.72981,                0.56796,                0.71826,                0.69582,                0.73258,                0.54712,                0.79292,                 1.6272,                 1.2374,                 1.1709,               0.067011,             0.00033322,             0.00033322
                      2,                0.76061,                 1.5127,                 1.2474,                 1.1667,                0.72006,                0.77332,                0.78794,                0.63139,                0.72844,                0.77305,                0.79075,                0.61788,                0.71505,                  1.351,                  1.039,                 1.1109,               0.034004,             0.00065996,             0.00065996
                      3,                 0.7011,                 1.3691,                 1.0637,                 1.1268,                0.80305,                0.78543,                0.82494,                0.66404,                 0.7972,                 0.7938,                0.82281,                 0.6495,                0.67706,                 1.2439,                0.86085,                 1.1029,             0.00099105,             0.00098009,             0.00098009
                      4,                0.65358,                 1.2513,                0.94562,                 1.0953,                0.78167,                0.81851,                0.82996,                0.68452,                 0.7834,                0.81819,                0.82835,                0.66178,                0.62569,                 1.1594,                0.84862,                  1.054,              0.0009703,              0.0009703,              0.0009703
                      5,                0.61555,                 1.1776,                 0.8563,                 1.0717,                0.81812,                0.81958,                0.85097,                0.70785,                0.82144,                0.81438,                0.84752,                 0.6855,                0.60598,                 1.1392,                0.74372,                 1.0473,              0.0009604,              0.0009604,              0.0009604
                      6,                0.59634,                 1.1229,                0.81244,                 1.0598,                0.80889,                0.85391,                0.86181,                0.72029,                0.80855,                0.85521,                 0.8608,                0.69491,                0.60375,                 1.1219,                 0.7214,                 1.0364,              0.0009505,              0.0009505,              0.0009505
                      7,                 0.5817,                 1.1013,                0.78106,                 1.0496,                0.83085,                0.83088,                0.85688,                0.71449,                0.83396,                0.83778,                0.85998,                0.69095,                0.58922,                 1.1012,                0.73425,                 1.0376,              0.0009406,              0.0009406,              0.0009406
                      8,                0.57279,                 1.0839,                0.75807,                 1.0445,                0.84353,                0.83471,                0.85818,                0.71644,                0.84159,                0.83274,                0.85506,                0.69568,                0.59623,                 1.1043,                0.71863,                 1.0425,              0.0009307,              0.0009307,              0.0009307
                      9,                0.56594,                  1.065,                0.74707,                 1.0424,                0.84472,                 0.8294,                0.85804,                0.72333,                0.85361,                0.82727,                0.86061,                0.69811,                 0.5766,                 1.1019,                0.68054,                 1.0322,              0.0009208,              0.0009208,              0.0009208
                     10,                0.55742,                 1.0499,                0.72209,                 1.0335,                0.86006,                0.82372,                0.86483,                0.73123,                0.86067,                0.82565,                0.86176,                0.69954,                0.58036,                 1.0877,                0.69335,                 1.0264,              0.0009109,              0.0009109,              0.0009109
