                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1381,                 2.8112,                  3.134,                 1.3404,                0.58366,                0.31655,                 0.3645,                0.27342,                0.56453,                 0.3002,                0.33378,                0.20359,                0.90923,                 3.1221,                 2.5214,                 1.1829,               0.066741,             3.3292e-05,             3.3292e-05
                      2,                 1.0435,                 2.5008,                 2.3652,                 1.2934,                0.65647,                0.60693,                0.65788,                0.51717,                0.65159,                0.59209,                0.64145,                0.46183,                  0.762,                  1.764,                 1.5356,                 1.0784,               0.033441,             6.6405e-05,             6.6405e-05
                      3,                0.98054,                 2.3458,                 1.9719,                 1.2498,                0.77302,                0.69638,                0.75694,                  0.602,                0.79949,                0.67364,                0.75087,                0.57927,                0.71041,                 1.3178,                 1.1718,                 1.0401,             0.00014081,             9.9299e-05,             9.9299e-05
                      4,                0.93673,                 2.2357,                  1.759,                 1.2224,                0.77563,                0.73677,                0.77486,                0.62138,                0.78399,                0.73388,                0.77332,                0.59742,                0.69525,                 1.2717,                 1.0688,                 1.0286,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                0.91888,                 2.1841,                 1.6542,                   1.21,                0.80941,                0.74583,                0.79784,                0.63933,                0.80823,                0.74681,                0.79323,                0.62004,                 0.6902,                 1.2392,                 1.0063,                 1.0191,              9.868e-05,              9.868e-05,              9.868e-05
                      6,                0.90406,                 2.1485,                 1.5702,                 1.1996,                0.79126,                0.76972,                0.79954,                0.64186,                0.79425,                0.76433,                0.79482,                 0.6198,                0.68744,                 1.2179,                0.99221,                 1.0184,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                0.88758,                 2.1117,                 1.5181,                 1.1879,                0.79901,                0.76986,                0.80258,                0.65044,                0.79577,                0.76621,                0.79844,                0.62606,                 0.6852,                 1.2216,                0.97965,                 1.0168,              9.802e-05,              9.802e-05,              9.802e-05
                      8,                0.88223,                  2.101,                   1.48,                 1.1844,                0.80434,                0.78532,                0.81152,                0.65587,                0.80336,                0.78619,                0.80766,                 0.6363,                0.67559,                 1.1902,                0.92318,                 1.0109,              9.769e-05,              9.769e-05,              9.769e-05
                      9,                0.87484,                 2.0691,                 1.4408,                 1.1788,                0.82424,                0.77825,                0.82122,                0.66084,                0.82573,                0.77732,                0.81632,                0.64211,                0.68532,                 1.1843,                0.93008,                 1.0117,              9.736e-05,              9.736e-05,              9.736e-05
                     10,                0.86771,                 2.0539,                 1.4104,                 1.1744,                0.81942,                 0.7944,                0.82497,                0.66677,                0.82456,                0.79594,                0.82183,                0.65008,                0.68222,                 1.1879,                0.89628,                 1.0291,              9.703e-05,              9.703e-05,              9.703e-05
                     11,                0.86467,                 2.0401,                 1.3881,                 1.1706,                0.80059,                0.78843,                0.82005,                0.66578,                0.81053,                0.78565,                0.81727,                0.64655,                0.67782,                 1.1825,                0.89093,                 1.0165,               9.67e-05,               9.67e-05,               9.67e-05
                     12,                0.85962,                  2.025,                 1.3618,                 1.1678,                0.81514,                0.79267,                0.82578,                0.67447,                0.81342,                0.79542,                0.82208,                0.64708,                 0.6649,                 1.1732,                0.86664,                 1.0064,              9.637e-05,              9.637e-05,              9.637e-05
                     13,                0.85291,                 2.0081,                 1.3432,                 1.1646,                0.83919,                0.78478,                0.82503,                0.66974,                0.83972,                0.78875,                0.82327,                0.65134,                 0.6686,                 1.1713,                0.87015,                 1.0117,              9.604e-05,              9.604e-05,              9.604e-05
                     14,                0.85255,                 2.0112,                 1.3299,                 1.1631,                0.82624,                0.79811,                0.83417,                0.68045,                 0.8212,                0.79841,                0.82727,                  0.655,                0.66424,                 1.1625,                0.84841,                 1.0092,              9.571e-05,              9.571e-05,              9.571e-05
                     15,                0.84776,                 1.9914,                 1.3217,                 1.1612,                0.82293,                0.79295,                0.82927,                0.68048,                0.82703,                0.79247,                0.82694,                0.65752,                0.65689,                 1.1734,                0.85659,                 1.0041,              9.538e-05,              9.538e-05,              9.538e-05
                     16,                0.84894,                 1.9916,                  1.315,                  1.161,                0.84123,                0.80433,                0.83944,                0.68488,                0.83971,                0.80624,                0.83545,                0.66186,                0.65189,                 1.1407,                0.82943,                 1.0057,              9.505e-05,              9.505e-05,              9.505e-05
                     17,                 0.8461,                 1.9802,                 1.2961,                 1.1601,                0.81677,                0.80607,                 0.8374,                0.68517,                0.82323,                0.80217,                0.83755,                0.65854,                0.65644,                 1.1562,                 0.8266,                 1.0125,              9.472e-05,              9.472e-05,              9.472e-05
                     18,                0.84525,                  1.981,                 1.2911,                 1.1579,                0.84971,                0.79661,                  0.844,                0.69479,                 0.8514,                0.79652,                0.84088,                0.67071,                 0.6364,                 1.1253,                0.81374,                0.99951,              9.439e-05,              9.439e-05,              9.439e-05
                     19,                0.84267,                 1.9684,                 1.2811,                  1.156,                0.83986,                0.80395,                0.83797,                0.68702,                0.83598,                 0.8051,                0.83289,                0.65971,                0.64613,                 1.1648,                0.81198,                 1.0027,              9.406e-05,              9.406e-05,              9.406e-05
                     20,                0.83819,                 1.9562,                 1.2669,                 1.1534,                0.81885,                0.81386,                0.84443,                 0.6942,                0.81891,                0.81359,                0.84239,                0.66743,                0.64846,                 1.1325,                 0.8055,                0.99917,              9.373e-05,              9.373e-05,              9.373e-05
