                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1238,                 2.7775,                 3.0841,                 1.3315,                0.49507,                0.20738,                0.22691,                0.16706,                0.45905,                0.19058,                0.20171,                0.11111,                 1.1087,                 3.2567,                 3.0628,                 1.4453,               0.066744,              3.329e-05,              3.329e-05
                      2,                 1.0203,                 2.4386,                 2.2683,                 1.2768,                0.67342,                0.58771,                0.63845,                0.50529,                0.67854,                0.58663,                0.63197,                0.46029,                0.74993,                 1.8417,                 1.5933,                 1.0557,               0.033444,             6.6403e-05,             6.6403e-05
                      3,                0.95547,                 2.2734,                 1.8674,                 1.2353,                 0.7777,                0.73116,                0.76511,                0.60908,                0.78155,                0.72754,                0.76281,                0.58814,                0.73839,                 1.3276,                 1.1404,                 1.0556,              0.0001431,             9.9296e-05,             9.9296e-05
                      4,                0.91399,                 2.1791,                 1.6603,                 1.2093,                0.79557,                 0.7392,                 0.7848,                0.62714,                0.79468,                0.73983,                0.78047,                0.60312,                0.71632,                  1.305,                 1.0622,                 1.0402,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                0.88941,                 2.1183,                 1.5453,                 1.1946,                0.79987,                0.76081,                0.79479,                0.64101,                0.80232,                0.76304,                0.79554,                0.62696,                0.69395,                 1.2516,                 1.0056,                 1.0216,              9.868e-05,              9.868e-05,              9.868e-05
                      6,                0.87602,                 2.0832,                 1.4811,                 1.1858,                 0.8096,                0.77555,                0.81426,                0.66183,                0.82517,                0.76324,                 0.8101,                0.63999,                 0.6832,                 1.2582,                0.96935,                 1.0188,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                0.86643,                 2.0486,                 1.4227,                 1.1782,                 0.8038,                0.78456,                 0.8196,                0.66804,                0.80901,                0.78061,                0.81913,                0.64547,                0.68513,                 1.2338,                0.93243,                 1.0249,              9.802e-05,              9.802e-05,              9.802e-05
                      8,                0.85803,                 2.0321,                 1.3869,                 1.1726,                0.82605,                0.79517,                0.82922,                0.66826,                0.81928,                0.79061,                0.82186,                0.64637,                0.68852,                 1.2136,                0.91555,                 1.0233,              9.769e-05,              9.769e-05,              9.769e-05
                      9,                0.85322,                 2.0149,                 1.3598,                 1.1689,                0.81301,                0.79707,                0.82395,                0.67124,                0.81694,                0.80041,                0.82541,                0.64398,                0.68017,                 1.2146,                0.91794,                 1.0237,              9.736e-05,              9.736e-05,              9.736e-05
                     10,                0.84161,                 1.9855,                 1.3225,                 1.1624,                0.81449,                0.79457,                0.82972,                0.68016,                0.81656,                0.80335,                0.82845,                0.65552,                0.67501,                  1.202,                0.87712,                 1.0139,              9.703e-05,              9.703e-05,              9.703e-05
                     11,                0.83394,                 1.9631,                 1.2957,                 1.1585,                0.82916,                0.80727,                0.82852,                0.67487,                0.82854,                0.80838,                0.82736,                0.64912,                0.68183,                 1.1896,                0.87716,                 1.0234,               9.67e-05,               9.67e-05,               9.67e-05
                     12,                 0.8322,                 1.9587,                 1.2864,                 1.1585,                0.82182,                0.80334,                0.82846,                0.67566,                 0.8254,                 0.8042,                0.82644,                0.65423,                0.67307,                 1.1722,                0.86856,                 1.0202,              9.637e-05,              9.637e-05,              9.637e-05
                     13,                0.83566,                 1.9697,                 1.2759,                 1.1583,                0.81717,                0.81427,                 0.8346,                0.68293,                  0.822,                0.81103,                0.83379,                0.66219,                0.68164,                 1.1825,                0.84443,                 1.0277,              9.604e-05,              9.604e-05,              9.604e-05
                     14,                0.82672,                 1.9372,                 1.2519,                 1.1522,                0.82372,                  0.799,                0.84299,                0.68997,                0.82656,                0.80513,                0.84456,                0.67066,                0.67562,                 1.1462,                0.83283,                 1.0193,              9.571e-05,              9.571e-05,              9.571e-05
                     15,                0.82674,                  1.933,                 1.2418,                 1.1506,                0.84053,                0.81157,                0.84232,                0.68998,                 0.8409,                0.80762,                0.83847,                 0.6642,                0.66711,                 1.1717,                0.82894,                 1.0162,              9.538e-05,              9.538e-05,              9.538e-05
                     16,                0.82522,                 1.9299,                 1.2383,                 1.1532,                0.82572,                0.80796,                0.83692,                 0.6888,                 0.8275,                 0.8074,                0.83522,                0.66422,                0.66074,                 1.1629,                0.83346,                 1.0178,              9.505e-05,              9.505e-05,              9.505e-05
                     17,                 0.8182,                 1.9125,                 1.2115,                 1.1471,                 0.8324,                0.81841,                0.84628,                0.69667,                0.83457,                0.82015,                  0.844,                0.67334,                0.65778,                 1.1391,                0.80195,                 1.0104,              9.472e-05,              9.472e-05,              9.472e-05
                     18,                0.81551,                  1.906,                 1.2104,                 1.1468,                 0.8278,                0.83442,                0.84489,                0.69424,                0.82901,                0.83548,                0.84278,                0.67031,                0.65508,                 1.1601,                0.81097,                 1.0072,              9.439e-05,              9.439e-05,              9.439e-05
                     19,                0.81681,                 1.9065,                 1.2045,                 1.1461,                0.81885,                0.81998,                0.84316,                 0.6934,                0.82406,                0.81547,                0.84048,                0.66828,                0.65889,                 1.1455,                0.81328,                 1.0197,              9.406e-05,              9.406e-05,              9.406e-05
                     20,                0.81128,                 1.8902,                 1.1908,                 1.1437,                0.82253,                0.82481,                0.84548,                0.69607,                0.83167,                0.82312,                0.84351,                0.67436,                0.65451,                 1.1452,                0.79647,                 1.0144,              9.373e-05,              9.373e-05,              9.373e-05
